marker,B1_90,B1_43,B2_36,B1_110,B2_37,B1_72,B1_128,B1_19,B1_124,B1_106,B1_114,B1_71,B2_26,B1_66,B1_1,B1_6,B1_33,B1_80,B1_127,B1_28,B1_51,B1_105,B1_77,B1_42,B1_38,B1_11,B2_16,B1_45,B1_68,B1_46,B2_38,B1_145,B1_17,B1_25,B1_78,B1_24,B1_138,B1_148,B1_54,B1_79,B1_49,B1_160,B1_159,B1_147,B1_2,B1_88,B1_18,B2_40,B1_84,B1_133,B1_103,B1_96,B1_119,B1_97,B1_107,B1_151,B1_75,B1_108,B1_154,B1_21,B1_20,B1_67,B1_3,B1_55,B1_35,B1_23,B1_98,B2_35,B1_109,B1_95,B2_8,B2_31,B1_156,B1_81,B1_132,B1_40,B1_142,B1_27,B1_86,B1_34,B2_39,B1_126,B1_87,B1_76,B1_123,B1_70,B1_121,B2_34,B1_102,B1_39,B1_111,B1_134,B1_48,B1_135,B1_64,B1_74,B1_146,B1_118
Ctg001.62651,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.62701,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.62751,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.62801,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.62851,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.62901,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.62951,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.63001,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.63051,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.63101,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.63151,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.63201,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.63251,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.63301,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.63351,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.63401,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.63451,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.63501,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.63551,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.63601,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.63651,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.63701,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.63751,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.63801,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.63851,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.63901,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.63951,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,NA,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.64001,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.64051,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.64101,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.64151,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.64201,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.64251,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.64301,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.64351,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.64401,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.64451,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.64501,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.64551,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.64601,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.64651,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.64701,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.64751,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.64801,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.64851,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.64901,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.64951,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.65001,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.65051,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.65101,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.65151,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.65201,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.65251,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.65301,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.65351,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.65401,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.65451,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.65501,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.65551,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.65601,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.65651,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.65701,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.65751,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.65801,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
Ctg001.65851,B,B,A,A,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,A,A,B,A,A,B,B,A,A,B,B,B,B,A,A,B,A,A,B,A,A,A,A,A,B,B,A,A,A,B,B,A,B,A,A,B,B
